NDVI,NDWI,NDBI,ICE,Clase
0.7021021,-0.60022587,-0.20416401,0.2922551,2
0.7149953,-0.605814,-0.19852462,0.29589224,2
0.5379727,-0.36376444,-0.14569771,0.23994277,2
0.73995274,-0.61167884,-0.27060854,0.32882318,2
0.76201665,-0.6436827,-0.23862442,0.3238591,2
0.75294966,-0.63009405,-0.27139366,0.3318741,2
0.7395639,-0.6351391,-0.14473145,0.28617355,2
0.7607038,-0.63552165,-0.24616024,0.32709563,2
0.7964519,-0.6650801,-0.35875705,0.37283707,2
0.7440094,-0.64091283,-0.22874202,0.31244472,2
0.744207,-0.6317568,-0.21483965,0.31020406,2
0.75064784,-0.627409,-0.24411705,0.32307723,2
0.7236364,-0.5959596,-0.21253464,0.30638665,2
0.68363136,-0.58796054,-0.20948617,0.2870694,2
0.6567553,-0.52253115,-0.22720248,0.29203218,2
0.68309176,-0.51346654,-0.22697657,0.30694553,2
0.6881476,-0.5258109,-0.2068654,0.30097124,2
0.68574685,-0.54579675,-0.2102161,0.29677892,2
0.72874326,-0.56986815,-0.2668693,0.3304588,2
0.7455079,-0.61904764,-0.29488575,0.33741015,2
0.685604,-0.56397134,-0.27759197,0.31328532,2
0.61936194,-0.49542838,-0.23214285,0.28023815,2
0.6166847,-0.48874173,-0.2406181,0.28277943,2
0.5744227,-0.4507365,-0.21691379,0.2621382,2
0.15585673,-0.11432571,-0.089540325,0.08192532,0
0.15718764,-0.12690797,-0.10109726,0.08354141,0
0.15059222,-0.12722751,-0.1264106,0.08777379,0
0.16430359,-0.13036437,-0.12842275,0.094605744,0
0.1904964,-0.14390542,-0.13088161,0.1057316,1
0.20824388,-0.15945612,-0.18884665,0.1288847,1
0.2475068,-0.19392624,-0.1780822,0.1383928,1
0.37995082,-0.28582337,-0.26568958,0.2125176,2
0.6171845,-0.47361064,-0.17979571,0.26780885,2
0.75618535,-0.66944623,-0.2766514,0.32719886,2
0.78466994,-0.68747383,-0.29102564,0.3421479,2
0.7798546,-0.6953511,-0.25590768,0.3276294,2
0.76504296,-0.66814375,-0.2504152,0.3240173,2
0.79818106,-0.67689824,-0.3550914,0.3702383,2
0.77529055,-0.67438084,-0.35213116,0.35840845,2
0.75735676,-0.6508244,-0.26120785,0.32687587,2
0.7875067,-0.627613,-0.25346312,0.3442697,2
0.769616,-0.63580245,-0.24437487,0.33095998,2
0.7536351,-0.6252225,-0.24673298,0.32579294,2
0.7468493,-0.6340338,-0.23613803,0.3174593,2
0.752809,-0.6105535,-0.17538719,0.30690995,2
0.7927171,-0.6516129,-0.19402985,0.32424492,2
0.7513798,-0.6317336,-0.21340132,0.31336358,2
0.77426845,-0.6172735,-0.24612625,0.3375174,2
0.7994723,-0.6593674,-0.27815086,0.35130793,2
0.80937,-0.68105066,-0.30517116,0.3600262,2
0.78479433,-0.6485035,-0.28603503,0.348507,2
0.7634213,-0.60496897,-0.2582373,0.33818805,2
0.73799837,-0.6,-0.30303493,0.33990967,2
0.697946,-0.5591716,-0.26549602,0.31678748,2
0.66344607,-0.5429425,-0.25611794,0.2999699,2
0.7024163,-0.58172506,-0.25598124,0.31165752,2
0.7857755,-0.65069306,-0.27325493,0.3447256,2
0.81113803,-0.6961451,-0.32194403,0.3629232,2
0.81607145,-0.7024482,-0.27723706,0.35071722,2
0.83157897,-0.7149897,-0.31279472,0.36662996,2
0.86038756,-0.74545455,-0.3425564,0.3838698,2
0.8570183,-0.7362951,-0.3354232,0.3818771,2
0.8305634,-0.7236641,-0.3610609,0.37886715,2
0.77163756,-0.6515151,-0.30188116,0.3460801,2
0.73046434,-0.6135164,-0.3244727,0.3398707,2
0.7421114,-0.6185306,-0.31278437,0.34118488,2
0.7087566,-0.60436064,-0.20279244,0.29434392,2
0.3983051,-0.34465197,-0.12933125,0.16902152,1
0.3605178,-0.31210986,-0.100667626,0.14803721,1
0.30598292,-0.25761318,-0.1432847,0.14445423,1
0.22293623,-0.18714012,-0.12416222,0.111288756,1
0.20075758,-0.14803079,-0.136328,0.11167103,1
0.19786616,-0.1629002,-0.11211166,0.09998654,0
0.18308505,-0.14405204,-0.1105097,0.09588503,0
0.18839154,-0.14231679,-0.095319055,0.09432813,0
0.18154761,-0.13428572,-0.088292405,0.090404384,0
0.15736961,-0.12770659,-0.09492653,0.081621446,0
0.16227697,-0.1291787,-0.12929522,0.09409131,0
0.21940559,-0.16153206,-0.12807035,0.11581749,1
0.26491863,-0.20085837,-0.12947825,0.13113111,1
0.2735632,-0.20644599,-0.18123667,0.1498634,1
0.35003835,-0.24881741,-0.15789473,0.17262411,1
0.4929134,-0.36363637,-0.23582323,0.2444764,2
0.66734445,-0.54193306,-0.16626368,0.27516472,2
0.7666272,-0.6712942,-0.25572005,0.32577077,2
0.791133,-0.68450314,-0.24350205,0.33171648,2
0.78551316,-0.6700982,-0.2639971,0.33793607,2
0.76072884,-0.6425856,-0.2877433,0.3381703,2
0.8011152,-0.6588915,-0.32467532,0.3661819,2
0.77017117,-0.6697417,-0.29378128,0.33927163,2
0.7685279,-0.6496212,-0.27199706,0.33593884,2
0.7935234,-0.6555953,-0.23805885,0.33706027,2
0.78898007,-0.65330446,-0.22496489,0.33131862,2
0.79212254,-0.6545454,-0.25830612,0.34264404,2
0.79153097,-0.6768293,-0.2523719,0.3361112,2
0.8028169,-0.6912378,-0.2986828,0.35276574,2
0.81260026,-0.6927685,-0.293656,0.35584322,2
0.7918552,-0.66316676,-0.29411766,0.35152954,2
0.7897481,-0.62460566,-0.28129372,0.35434103,2
0.79286027,-0.6699507,-0.27543503,0.3450705,2
0.8308227,-0.69588554,-0.33052632,0.37539214,2
0.82665426,-0.69550174,-0.24345757,0.34726405,2
0.8025945,-0.68432146,-0.16621055,0.31429613,2
0.7867704,-0.6841076,-0.20230407,0.3172549,2
0.769482,-0.6401384,-0.21557942,0.32138717,2
0.7493606,-0.6151122,-0.25293848,0.3275394,2
0.7620986,-0.61659753,-0.24175298,0.3302557,2
0.81190366,-0.67774504,-0.25270927,0.3462156,2
0.8226601,-0.7050691,-0.3171166,0.3654512,2
0.83620876,-0.7194274,-0.29234552,0.36192256,2
0.8534483,-0.7352704,-0.32593277,0.3774499,2
0.8399264,-0.71636987,-0.2932428,0.36466208,2
0.83112496,-0.71651244,-0.24875975,0.34688792,2
0.823222,-0.71416366,-0.30854532,0.36134186,2
0.8399206,-0.696082,-0.3291248,0.37948135,2
0.8038904,-0.6632504,-0.32054636,0.36545902,2
0.7797632,-0.6422094,-0.25976285,0.33936858,2
0.76492196,-0.6504938,-0.24300727,0.3252644,2
0.7417233,-0.6285363,-0.2704302,0.32628345,2
0.70835215,-0.61089826,-0.24781534,0.30634102,2
0.704186,-0.6215977,-0.24710688,0.30190554,2
0.7682152,-0.649635,-0.24090597,0.32645237,2
0.8111048,-0.6776246,-0.19712448,0.3291648,2
0.82874465,-0.70272815,-0.2608847,0.35209212,2
0.83503056,-0.711301,-0.28370437,0.36036637,2
0.83765876,-0.7478992,-0.2466754,0.34325218,2
0.833978,-0.7319472,-0.20839052,0.3331167,2
0.85524976,-0.7358131,-0.28644636,0.3663962,2
0.8623815,-0.751938,-0.3476446,0.38509655,2
0.8656899,-0.756995,-0.3538098,0.38758886,2
0.67982644,-0.5720666,-0.22415428,0.2927462,2
0.6725773,-0.5522388,-0.22463769,0.2932322,2
0.6707317,-0.5867632,-0.19800125,0.2774136,2
0.6393288,-0.5828389,-0.1279883,0.2414931,2
0.5046492,-0.4945424,-0.14084281,0.19566898,1
0.39868325,-0.39562044,-0.120421916,0.15634412,1
0.37608922,-0.35670102,-0.1361151,0.15753894,1
0.37486875,-0.3558854,-0.10679065,0.1482945,1
0.3617309,-0.33333334,-0.119199775,0.14995871,1
0.348659,-0.31384137,-0.09671556,0.1405759,1
0.30875036,-0.26685554,-0.12488995,0.13847105,1
0.24578436,-0.19685812,-0.114641674,0.11791305,1
0.2375852,-0.17685185,-0.13520151,0.12398268,1
0.21511628,-0.17196262,-0.105210975,0.10472891,1
0.18504496,-0.15818687,-0.10442165,0.092211604,0
0.1752381,-0.1752381,-0.079496995,0.07642053,0
0.14190476,-0.14027579,-0.06518601,0.062453024,0
0.14362657,-0.12693499,-0.09756623,0.075696155,0
0.22197802,-0.1636668,-0.14051282,0.120409496,1
0.29305422,-0.2221223,-0.17497028,0.15459374,1
0.3091271,-0.25692454,-0.15934369,0.15098174,1
0.35,-0.26008752,-0.25021103,0.1980458,1
0.4998407,-0.37339556,-0.20455417,0.23660749,2
0.64288354,-0.50287455,-0.2862518,0.3067424,2
0.7225504,-0.6131248,-0.2632208,0.31761646,2
0.7764581,-0.6822655,-0.31594658,0.3465599,2
0.8124323,-0.7126484,-0.31551644,0.3583414,2
0.8139947,-0.7138075,-0.34847736,0.36877906,2
0.7815889,-0.67910624,-0.28180003,0.3395132,2
0.7791336,-0.65587735,-0.18008903,0.31241804,2
0.7854428,-0.66566676,-0.20236221,0.32029673,2
0.78938407,-0.6730361,-0.19461815,0.31847027,2
0.78958786,-0.67768174,-0.21658987,0.32423455,2
0.80564916,-0.66142106,-0.23853537,0.34210098,2
0.795432,-0.67718,-0.25599167,0.33907747,2
0.80797637,-0.6921659,-0.24369179,0.33866253,2
0.81923234,-0.7006173,-0.32751092,0.367746,2
0.82557905,-0.6976962,-0.33020252,0.37231103,2
